textbox22,Textbox9
generated on 02/03/2020 15:50:05 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Japan,Western Pacific Region of WHO,Eastern Asia,2018,40,2018-10-01,2018-10-07,,,0,18,11,0,0,29,2,0,0,2,31,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,41,2018-10-08,2018-10-14,,,0,6,3,0,1,10,0,1,0,1,11,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,42,2018-10-15,2018-10-21,,,0,16,13,0,0,29,1,0,0,1,30,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,43,2018-10-22,2018-10-28,,,0,13,9,0,0,22,0,0,0,0,22,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,44,2018-10-29,2018-11-04,,,0,15,5,0,0,20,0,1,0,1,21,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,45,2018-11-05,2018-11-11,,,0,26,20,0,0,46,0,0,0,0,46,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,46,2018-11-12,2018-11-18,,,0,40,16,0,0,56,0,0,0,0,56,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,47,2018-11-19,2018-11-25,,,0,47,18,0,0,65,0,0,0,0,65,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2018,48,2018-11-26,2018-12-02,,,0,75,30,0,0,105,0,1,0,1,106,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2018,49,2018-12-03,2018-12-09,,,0,105,44,0,0,149,0,1,0,1,150,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2018,50,2018-12-10,2018-12-16,,,0,170,86,0,0,256,2,1,1,4,260,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2018,51,2018-12-17,2018-12-23,,,0,265,140,0,0,405,2,1,0,3,408,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2018,52,2018-12-24,2018-12-30,,,0,185,103,0,0,288,2,5,0,7,295,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,1,2018-12-31,2019-01-06,,,0,136,122,0,1,259,2,1,0,3,262,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,2,2019-01-07,2019-01-13,,,0,358,401,0,0,759,1,3,0,4,763,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,3,2019-01-14,2019-01-20,,,0,308,446,0,1,755,4,9,1,14,769,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,4,2019-01-21,2019-01-27,,,0,283,560,0,0,843,3,6,0,9,852,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,5,2019-01-28,2019-02-03,,,0,189,508,0,3,700,4,7,0,11,711,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,6,2019-02-04,2019-02-10,,,0,170,380,0,1,551,5,7,0,12,563,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,7,2019-02-11,2019-02-17,,,0,93,279,0,2,374,3,7,0,10,384,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,8,2019-02-18,2019-02-24,,,0,76,283,0,1,360,2,9,0,11,371,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,9,2019-02-25,2019-03-03,,,0,54,228,0,1,283,1,6,0,7,290,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,10,2019-03-04,2019-03-10,,,0,49,176,0,0,225,3,12,0,15,240,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,11,2019-03-11,2019-03-17,,,0,31,140,0,0,171,1,20,0,21,192,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,12,2019-03-18,2019-03-24,,,0,18,110,0,0,128,0,20,1,21,149,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,13,2019-03-25,2019-03-31,,,0,20,89,0,0,109,0,25,1,26,135,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,14,2019-04-01,2019-04-07,,,0,16,75,0,0,91,0,32,0,32,123,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,15,2019-04-08,2019-04-14,,,0,12,92,0,0,104,0,33,1,34,138,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,16,2019-04-15,2019-04-21,,,0,17,90,0,0,107,2,68,2,72,179,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,17,2019-04-22,2019-04-28,,,0,8,54,0,0,62,0,61,1,62,124,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,18,2019-04-29,2019-05-05,,,0,1,12,0,0,13,1,20,1,22,35,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2019,19,2019-05-06,2019-05-12,,,0,4,10,0,0,14,0,37,1,38,52,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2019,20,2019-05-13,2019-05-19,,,0,5,25,0,0,30,1,53,0,54,84,,Local Outbreak

